Freq(hertz)	Ze(ohms)	ZePhase(deg)
10.00   	6.41    	19.51   
10.14   	6.42    	19.81   
10.29   	6.43    	20.11   
10.44   	6.45    	20.42   
10.59   	6.46    	20.73   
10.74   	6.48    	21.05   
10.90   	6.50    	21.37   
11.05   	6.51    	21.70   
11.21   	6.53    	22.03   
11.37   	6.55    	22.37   
11.54   	6.57    	22.72   
11.70   	6.58    	23.07   
11.87   	6.60    	23.43   
12.04   	6.63    	23.79   
12.22   	6.65    	24.16   
12.39   	6.67    	24.54   
12.57   	6.69    	24.92   
12.75   	6.72    	25.31   
12.94   	6.74    	25.71   
13.12   	6.77    	26.12   
13.31   	6.80    	26.53   
13.50   	6.83    	26.95   
13.70   	6.86    	27.38   
13.89   	6.89    	27.81   
14.10   	6.92    	28.26   
14.30   	6.95    	28.71   
14.50   	6.99    	29.17   
14.71   	7.03    	29.64   
14.92   	7.07    	30.12   
15.14   	7.11    	30.61   
15.36   	7.15    	31.10   
15.58   	7.19    	31.61   
15.80   	7.24    	32.13   
16.03   	7.29    	32.65   
16.26   	7.34    	33.19   
16.50   	7.40    	33.74   
16.73   	7.45    	34.30   
16.98   	7.52    	34.87   
17.22   	7.58    	35.45   
17.47   	7.65    	36.05   
17.72   	7.72    	36.65   
17.97   	7.79    	37.27   
18.23   	7.87    	37.90   
18.50   	7.96    	38.55   
18.76   	8.05    	39.21   
19.03   	8.14    	39.88   
19.31   	8.24    	40.56   
19.59   	8.35    	41.26   
19.87   	8.47    	41.98   
20.15   	8.59    	42.71   
20.44   	8.72    	43.45   
20.74   	8.86    	44.21   
21.04   	9.02    	44.99   
21.34   	9.18    	45.78   
21.65   	9.36    	46.59   
21.96   	9.55    	47.41   
22.28   	9.76    	48.25   
22.60   	9.98    	49.10   
22.92   	10.23   	49.97   
23.25   	10.50   	50.85   
23.59   	10.80   	51.75   
23.93   	11.13   	52.66   
24.27   	11.49   	53.58   
24.62   	11.90   	54.51   
24.98   	12.35   	55.44   
25.34   	12.86   	56.37   
25.70   	13.44   	57.31   
26.07   	14.10   	58.23   
