Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	2.2143e-007	-90.105	-4.0497e-010	-2.2143e-007
10.187	2.2586e-007	-90.107	-4.2154e-010	-2.2586e-007
10.377	2.304e-007	-90.109	-4.3884e-010	-2.304e-007
10.571	2.3504e-007	-90.111	-4.569e-010	-2.3504e-007
10.768	2.3978e-007	-90.114	-4.7578e-010	-2.3978e-007
10.969	2.4464e-007	-90.116	-4.955e-010	-2.4464e-007
11.174	2.4961e-007	-90.118	-5.1611e-010	-2.4961e-007
11.382	2.5469e-007	-90.121	-5.3766e-010	-2.5469e-007
11.595	2.599e-007	-90.123	-5.6019e-010	-2.599e-007
11.811	2.6523e-007	-90.126	-5.8377e-010	-2.6523e-007
12.032	2.7069e-007	-90.129	-6.0843e-010	-2.7069e-007
12.256	2.7629e-007	-90.132	-6.3425e-010	-2.7629e-007
12.485	2.8202e-007	-90.134	-6.6128e-010	-2.8202e-007
12.718	2.879e-007	-90.137	-6.896e-010	-2.879e-007
12.955	2.9392e-007	-90.14	-7.1927e-010	-2.9392e-007
13.197	3.0009e-007	-90.143	-7.5037e-010	-3.0009e-007
13.444	3.0643e-007	-90.146	-7.8298e-010	-3.0643e-007
13.695	3.1292e-007	-90.15	-8.172e-010	-3.1292e-007
13.95	3.1959e-007	-90.153	-8.531e-010	-3.1959e-007
14.211	3.2643e-007	-90.156	-8.908e-010	-3.2643e-007
14.476	3.3346e-007	-90.16	-9.3039e-010	-3.3346e-007
14.746	3.4067e-007	-90.163	-9.7201e-010	-3.4067e-007
15.021	3.4809e-007	-90.167	-1.0158e-009	-3.4809e-007
15.302	3.5571e-007	-90.171	-1.0618e-009	-3.5571e-007
15.587	3.6354e-007	-90.175	-1.1102e-009	-3.6354e-007
15.878	3.716e-007	-90.179	-1.1612e-009	-3.716e-007
16.175	3.7989e-007	-90.183	-1.215e-009	-3.7989e-007
16.477	3.8842e-007	-90.188	-1.2717e-009	-3.8842e-007
