Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	3.2639e-006	-90.	7.7009e-017	-3.2639e-006
10.187	3.2038e-006	-90.	7.9913e-017	-3.2038e-006
10.377	3.1448e-006	-90.	8.2926e-017	-3.1448e-006
10.571	3.0869e-006	-90.	8.6053e-017	-3.0869e-006
10.768	3.03e-006	-90.	8.9297e-017	-3.03e-006
10.969	2.9742e-006	-90.	9.2665e-017	-2.9742e-006
11.174	2.9194e-006	-90.	9.6159e-017	-2.9194e-006
11.382	2.8656e-006	-90.	9.9785e-017	-2.8656e-006
11.595	2.8127e-006	-90.	1.0355e-016	-2.8127e-006
11.811	2.7609e-006	-90.	1.0745e-016	-2.7609e-006
12.032	2.7099e-006	-90.	1.1151e-016	-2.7099e-006
12.256	2.6599e-006	-90.	1.1571e-016	-2.6599e-006
12.485	2.6109e-006	-90.	1.2008e-016	-2.6109e-006
12.718	2.5627e-006	-90.	1.246e-016	-2.5627e-006
12.955	2.5154e-006	-90.	1.293e-016	-2.5154e-006
13.197	2.4689e-006	-90.	1.3418e-016	-2.4689e-006
13.444	2.4233e-006	-90.	1.3924e-016	-2.4233e-006
13.695	2.3785e-006	-90.	1.445e-016	-2.3785e-006
13.95	2.3345e-006	-90.	1.4995e-016	-2.3345e-006
14.211	2.2914e-006	-90.	1.556e-016	-2.2914e-006
14.476	2.249e-006	-90.	1.6147e-016	-2.249e-006
14.746	2.2074e-006	-90.	1.6757e-016	-2.2074e-006
15.021	2.1665e-006	-90.	1.7389e-016	-2.1665e-006
15.302	2.1264e-006	-90.	1.8045e-016	-2.1264e-006
15.587	2.087e-006	-90.	1.8726e-016	-2.087e-006
15.878	2.0483e-006	-90.	1.9433e-016	-2.0483e-006
16.175	2.0103e-006	-90.	2.0166e-016	-2.0103e-006
16.477	1.973e-006	-90.	2.0927e-016	-1.973e-006
16.784	1.9364e-006	-90.	2.1717e-016	-1.9364e-006
17.097	1.9005e-006	-90.	2.2537e-016	-1.9005e-006
17.417	1.8652e-006	-90.	2.3387e-016	-1.8652e-006
17.742	1.8305e-006	-90.	2.427e-016	-1.8305e-006
18.073	1.7965e-006	-90.	2.5187e-016	-1.7965e-006
18.41	1.763e-006	-90.	2.6137e-016	-1.763e-006
18.754	1.7302e-006	-90.	2.7124e-016	-1.7302e-006
