Freq(hertz)	Xd(mm)
10.00   	0.501   
10.14   	0.501   
10.29   	0.501   
10.44   	0.501   
10.59   	0.501   
10.74   	0.502   
10.90   	0.502   
11.05   	0.502   
11.21   	0.502   
11.37   	0.503   
11.54   	0.503   
11.70   	0.503   
11.87   	0.503   
12.04   	0.503   
12.22   	0.504   
12.39   	0.504   
12.57   	0.504   
12.75   	0.504   
12.94   	0.505   
13.12   	0.505   
13.31   	0.505   
13.50   	0.506   
13.70   	0.506   
13.89   	0.506   
14.10   	0.506   
14.30   	0.507   
14.50   	0.507   
14.71   	0.507   
14.92   	0.508   
15.14   	0.508   
15.36   	0.508   
15.58   	0.509   
15.80   	0.509   
16.03   	0.509   
16.26   	0.510   
16.50   	0.510   
16.73   	0.510   
16.98   	0.511   
17.22   	0.511   
17.47   	0.511   
17.72   	0.512   
17.97   	0.512   
18.23   	0.512   
18.50   	0.513   
18.76   	0.513   
19.03   	0.513   
19.31   	0.514   
19.59   	0.514   
19.87   	0.514   
20.15   	0.514   
20.44   	0.515   
20.74   	0.515   
21.04   	0.515   
21.34   	0.515   
21.65   	0.515   
21.96   	0.515   
22.28   	0.515   
22.60   	0.515   
22.92   	0.515   
23.25   	0.515   
23.59   	0.515   
23.93   	0.515   
24.27   	0.514   
24.62   	0.514   
24.98   	0.513   
25.34   	0.512   
25.70   	0.512   
26.07   	0.511   
26.45   	0.510   
26.83   	0.508   
27.21   	0.507   
27.61   	0.505   
28.00   	0.503   
28.41   	0.501   
28.82   	0.498   
29.23   	0.496   
29.65   	0.493   
30.08   	0.489   
30.51   	0.485   
30.95   	0.481   
31.40   	0.476   
31.85   	0.471   
32.31   	0.466   
32.77   	0.459   
33.25   	0.453   
33.72   	0.445   
34.21   	0.437   
34.70   	0.429   
35.20   	0.420   
35.71   	0.410   
36.22   	0.399   
36.75   	0.388   
37.28   	0.376   
37.81   	0.363   
38.36   	0.350   
38.91   	0.336   
39.47   	0.322   
40.04   	0.307   
40.62   	0.292   
41.20   	0.276   
41.79   	0.260   
42.40   	0.244   
43.01   	0.227   
43.63   	0.210   
44.26   	0.194   
44.89   	0.177   
45.54   	0.160   
46.20   	0.144   
46.86   	0.128   
47.54   	0.111   
48.22   	0.096   
48.91   	0.080   
49.62   	0.065   
50.33   	0.051   
51.06   	0.037   
51.79   	0.023   
52.54   	0.011   
53.30   	0.007   
54.07   	0.017   
54.84   	0.028   
55.63   	0.039   
56.44   	0.050   
57.25   	0.060   
58.07   	0.070   
58.91   	0.080   
59.76   	0.088   
60.62   	0.097   
61.49   	0.105   
62.38   	0.112   
63.28   	0.119   
64.19   	0.126   
65.11   	0.132   
66.05   	0.138   
67.00   	0.143   
67.97   	0.148   
68.95   	0.152   
69.94   	0.156   
70.95   	0.160   
71.97   	0.163   
73.01   	0.166   
74.06   	0.168   
75.12   	0.170   
76.21   	0.172   
77.30   	0.173   
78.42   	0.174   
79.55   	0.175   
80.69   	0.175   
81.85   	0.175   
83.03   	0.175   
84.23   	0.174   
85.44   	0.174   
86.67   	0.173   
87.92   	0.171   
89.19   	0.170   
90.47   	0.168   
91.78   	0.166   
93.10   	0.164   
94.44   	0.162   
95.80   	0.159   
97.18   	0.157   
98.58   	0.154   
100.00  	0.152   
101.44  	0.149   
102.90  	0.146   
104.38  	0.143   
105.89  	0.140   
107.41  	0.137   
108.96  	0.134   
110.53  	0.131   
112.12  	0.128   
113.74  	0.125   
115.38  	0.122   
117.04  	0.119   
118.72  	0.116   
120.43  	0.113   
122.17  	0.110   
123.93  	0.107   
125.71  	0.104   
127.52  	0.101   
129.36  	0.098   
131.22  	0.096   
133.11  	0.093   
135.03  	0.090   
136.98  	0.088   
138.95  	0.085   
140.95  	0.082   
142.98  	0.080   
145.04  	0.077   
147.13  	0.075   
149.25  	0.073   
151.40  	0.070   
153.58  	0.068   
155.79  	0.066   
158.04  	0.064   
160.31  	0.062   
162.62  	0.060   
164.96  	0.058   
167.34  	0.056   
169.75  	0.054   
172.20  	0.052   
174.68  	0.050   
177.19  	0.048   
179.75  	0.046   
182.33  	0.044   
184.96  	0.042   
187.63  	0.040   
190.33  	0.038   
193.07  	0.036   
195.85  	0.034   
198.67  	0.031   
201.53  	0.030   
204.44  	0.030   
207.38  	0.033   
210.37  	0.036   
213.40  	0.038   
216.47  	0.037   
219.59  	0.035   
222.75  	0.034   
225.96  	0.033   
229.22  	0.031   
232.52  	0.030   
235.87  	0.029   
239.27  	0.028   
242.71  	0.027   
246.21  	0.026   
249.76  	0.025   
253.35  	0.024   
257.00  	0.023   
260.70  	0.022   
264.46  	0.021   
268.27  	0.020   
272.13  	0.020   
276.05  	0.019   
280.03  	0.018   
284.06  	0.018   
288.16  	0.017   
292.31  	0.016   
296.52  	0.016   
300.79  	0.015   
305.12  	0.015   
309.52  	0.014   
313.97  	0.013   
318.50  	0.013   
323.08  	0.012   
327.74  	0.012   
332.46  	0.011   
337.25  	0.011   
342.11  	0.011   
347.03  	0.010   
352.03  	0.010   
357.10  	0.009   
362.25  	0.009   
367.47  	0.009   
372.76  	0.008   
378.13  	0.008   
383.58  	0.008   
389.10  	0.007   
394.71  	0.007   
400.39  	0.007   
406.16  	0.006   
412.01  	0.006   
417.94  	0.005   
423.96  	0.004   
430.07  	0.000   
436.27  	0.023   
442.55  	0.009   
448.93  	0.007   
455.39  	0.007   
461.95  	0.006   
468.61  	0.006   
475.36  	0.005   
482.20  	0.005   
489.15  	0.005   
496.19  	0.005   
503.34  	0.004   
510.59  	0.004   
517.95  	0.004   
525.41  	0.004   
532.98  	0.004   
540.65  	0.003   
548.44  	0.003   
556.34  	0.003   
564.36  	0.003   
572.48  	0.003   
580.73  	0.003   
589.10  	0.003   
597.58  	0.003   
606.19  	0.002   
614.92  	0.002   
623.78  	0.002   
632.76  	0.002   
