Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	2.1316e-009	-100.47	-3.8718e-010	-2.0961e-009
10.187	2.1748e-009	-100.66	-4.0232e-010	-2.1372e-009
10.377	2.2189e-009	-100.86	-4.1808e-010	-2.1792e-009
10.571	2.2642e-009	-101.06	-4.3447e-010	-2.2221e-009
10.768	2.3105e-009	-101.27	-4.5154e-010	-2.2659e-009
10.969	2.3579e-009	-101.48	-4.693e-010	-2.3107e-009
11.174	2.4064e-009	-101.7	-4.8779e-010	-2.3565e-009
11.382	2.4561e-009	-101.91	-5.0705e-010	-2.4032e-009
11.595	2.5071e-009	-102.14	-5.271e-010	-2.4511e-009
11.811	2.5593e-009	-102.36	-5.4798e-010	-2.5e-009
12.032	2.6128e-009	-102.59	-5.6973e-010	-2.55e-009
12.256	2.6677e-009	-102.83	-5.9239e-010	-2.6011e-009
12.485	2.724e-009	-103.07	-6.16e-010	-2.6534e-009
12.718	2.7817e-009	-103.31	-6.4061e-010	-2.7069e-009
12.955	2.8409e-009	-103.56	-6.6625e-010	-2.7617e-009
13.197	2.9017e-009	-103.82	-6.9299e-010	-2.8177e-009
13.444	2.9641e-009	-104.08	-7.2087e-010	-2.8751e-009
13.695	3.0281e-009	-104.34	-7.4994e-010	-2.9338e-009
13.95	3.094e-009	-104.61	-7.8027e-010	-2.994e-009
14.211	3.1616e-009	-104.88	-8.1191e-010	-3.0556e-009
14.476	3.2311e-009	-105.16	-8.4493e-010	-3.1187e-009
14.746	3.3026e-009	-105.44	-8.794e-010	-3.1834e-009
15.021	3.3761e-009	-105.73	-9.1538e-010	-3.2497e-009
15.302	3.4518e-009	-106.03	-9.5296e-010	-3.3176e-009
15.587	3.5297e-009	-106.33	-9.9221e-010	-3.3873e-009
15.878	3.6099e-009	-106.63	-1.0332e-009	-3.4588e-009
16.175	3.6925e-009	-106.94	-1.0761e-009	-3.5322e-009
16.477	3.7777e-009	-107.26	-1.1209e-009	-3.6075e-009
16.784	3.8655e-009	-107.58	-1.1678e-009	-3.6849e-009
17.097	3.9561e-009	-107.91	-1.2168e-009	-3.7643e-009
17.417	4.0496e-009	-108.25	-1.2681e-009	-3.8459e-009
17.742	4.1462e-009	-108.59	-1.3218e-009	-3.9298e-009
18.073	4.2459e-009	-108.94	-1.3781e-009	-4.0161e-009
18.41	4.3491e-009	-109.29	-1.437e-009	-4.1048e-009
18.754	4.4558e-009	-109.66	-1.4988e-009	-4.1961e-009
19.104	4.5662e-009	-110.03	-1.5636e-009	-4.2901e-009
19.461	4.6805e-009	-110.4	-1.6316e-009	-4.387e-009
19.824	4.7991e-009	-110.78	-1.7029e-009	-4.4868e-009
20.194	4.922e-009	-111.17	-1.7778e-009	-4.5897e-009
20.571	5.0495e-009	-111.57	-1.8565e-009	-4.6958e-009
20.955	5.182e-009	-111.98	-1.9392e-009	-4.8054e-009
21.346	5.3196e-009	-112.39	-2.0262e-009	-4.9186e-009
21.744	5.4629e-009	-112.81	-2.1178e-009	-5.0356e-009
22.15	5.6119e-009	-113.24	-2.2143e-009	-5.1566e-009
22.564	5.7673e-009	-113.68	-2.3159e-009	-5.2819e-009
22.985	5.9293e-009	-114.12	-2.4231e-009	-5.4116e-009
23.414	6.0984e-009	-114.58	-2.5362e-009	-5.546e-009
23.851	6.2752e-009	-115.04	-2.6558e-009	-5.6855e-009
24.296	6.4601e-009	-115.51	-2.7821e-009	-5.8303e-009
24.75	6.6537e-009	-115.99	-2.9158e-009	-5.9808e-009
25.212	6.8568e-009	-116.48	-3.0574e-009	-6.1374e-009
25.683	7.0699e-009	-116.98	-3.2075e-009	-6.3005e-009
26.162	7.294e-009	-117.49	-3.3668e-009	-6.4705e-009
26.65	7.5299e-009	-118.01	-3.5361e-009	-6.6479e-009
27.148	7.7785e-009	-118.54	-3.7161e-009	-6.8334e-009
27.655	8.0409e-009	-119.08	-3.9079e-009	-7.0274e-009
28.171	8.3185e-009	-119.63	-4.1125e-009	-7.2308e-009
28.697	8.6125e-009	-120.19	-4.331e-009	-7.4442e-009
29.232	8.9244e-009	-120.76	-4.5648e-009	-7.6686e-009
29.778	9.2561e-009	-121.35	-4.8154e-009	-7.9049e-009
30.334	9.6094e-009	-121.94	-5.0843e-009	-8.1542e-009
30.9	9.9866e-009	-122.55	-5.3736e-009	-8.4177e-009
31.477	1.039e-008	-123.17	-5.6854e-009	-8.6968e-009
32.064	1.0823e-008	-123.81	-6.0222e-009	-8.9932e-009
32.663	1.1289e-008	-124.46	-6.3869e-009	-9.3086e-009
33.273	1.1791e-008	-125.12	-6.7829e-009	-9.6453e-009
33.894	1.2335e-008	-125.79	-7.214e-009	-1.0006e-008
34.527	1.2925e-008	-126.48	-7.6849e-009	-1.0393e-008
35.171	1.3568e-008	-127.19	-8.2008e-009	-1.0809e-008
35.828	1.4271e-008	-127.91	-8.7684e-009	-1.126e-008
36.496	1.5044e-008	-128.65	-9.3952e-009	-1.175e-008
37.178	1.5897e-008	-129.4	-1.0091e-008	-1.2284e-008
37.872	1.6843e-008	-130.18	-1.0866e-008	-1.2869e-008
38.579	1.7898e-008	-130.97	-1.1735e-008	-1.3514e-008
39.299	1.9083e-008	-131.79	-1.2716e-008	-1.4229e-008
40.032	2.0424e-008	-132.63	-1.3831e-008	-1.5028e-008
40.779	2.1952e-008	-133.49	-1.5108e-008	-1.5927e-008
41.541	2.3712e-008	-134.38	-1.6584e-008	-1.6947e-008
42.316	2.5758e-008	-135.3	-1.831e-008	-1.8117e-008
43.106	2.8168e-008	-136.26	-2.0352e-008	-1.9473e-008
43.911	3.1047e-008	-137.27	-2.2804e-008	-2.1068e-008
44.73	3.4548e-008	-138.32	-2.5803e-008	-2.2973e-008
45.565	3.8895e-008	-139.44	-2.9549e-008	-2.5292e-008
46.416	4.4438e-008	-140.64	-3.436e-008	-2.818e-008
47.282	5.1746e-008	-141.97	-4.0758e-008	-3.1881e-008
48.165	6.1818e-008	-143.47	-4.9672e-008	-3.6798e-008
49.064	7.658e-008	-145.26	-6.2929e-008	-4.3639e-008
49.98	1.0027e-007	-147.59	-8.4655e-008	-5.3745e-008
50.913	1.4439e-007	-151.13	-1.2645e-007	-6.9704e-008
51.863	2.5366e-007	-158.59	-2.3615e-007	-9.2605e-008
52.831	7.7639e-007	163.56	-7.4463e-007	2.1979e-007
53.818	4.1537e-007	59.066	2.1352e-007	3.5629e-007
54.822	1.9095e-007	44.323	1.3661e-007	1.3342e-007
55.845	1.2308e-007	39.275	9.528e-008	7.7917e-008
56.888	9.0907e-008	36.315	7.325e-008	5.3838e-008
57.95	7.2196e-008	34.122	5.9767e-008	4.0499e-008
59.032	5.9978e-008	32.286	5.0704e-008	3.2037e-008
60.133	5.1379e-008	30.64	4.4206e-008	2.6185e-008
61.256	4.5005e-008	29.1	3.9324e-008	2.1887e-008
62.399	4.0093e-008	27.623	3.5523e-008	1.8589e-008
63.564	3.6196e-008	26.183	3.2482e-008	1.5971e-008
64.751	3.303e-008	24.762	2.9993e-008	1.3834e-008
65.959	3.041e-008	23.348	2.792e-008	1.2052e-008
67.191	2.8207e-008	21.935	2.6165e-008	1.0537e-008
68.445	2.6332e-008	20.517	2.4662e-008	9.2289e-009
69.723	2.4718e-008	19.088	2.3359e-008	8.0833e-009
71.024	2.3315e-008	17.647	2.2218e-008	7.0679e-009
72.35	2.2087e-008	16.189	2.1211e-008	6.158e-009
73.7	2.1004e-008	14.713	2.0315e-008	5.3347e-009
75.076	2.0044e-008	13.218	1.9513e-008	4.583e-009
76.478	1.9188e-008	11.7	1.8789e-008	3.8911e-009
77.905	1.8422e-008	10.16	1.8133e-008	3.2495e-009
79.359	1.7734e-008	8.5949	1.7535e-008	2.6503e-009
80.841	1.7114e-008	7.0046	1.6986e-008	2.0871e-009
82.35	1.6555e-008	5.3877	1.6482e-008	1.5544e-009
83.887	1.6049e-008	3.7431	1.6014e-008	1.0477e-009
85.453	1.5591e-008	2.07	1.558e-008	5.6313e-010
87.048	1.5176e-008	0.36722	1.5175e-008	9.7263e-011
88.673	1.48e-008	-1.3661	1.4796e-008	-3.5284e-010
90.328	1.446e-008	-3.1308	1.4439e-008	-7.8976e-010
92.014	1.4153e-008	-4.928	1.4101e-008	-1.2158e-009
93.732	1.3877e-008	-6.7584	1.3781e-008	-1.6331e-009
95.482	1.3629e-008	-8.6232	1.3475e-008	-2.0435e-009
97.264	1.3409e-008	-10.523	1.3183e-008	-2.4488e-009
99.08	1.3213e-008	-12.459	1.2902e-008	-2.8507e-009
100.93	1.3042e-008	-14.433	1.2631e-008	-3.2507e-009
102.81	1.2895e-008	-16.444	1.2368e-008	-3.6503e-009
104.73	1.277e-008	-18.495	1.2111e-008	-4.0511e-009
106.69	1.2668e-008	-20.586	1.1859e-008	-4.4544e-009
108.68	1.2588e-008	-22.719	1.1612e-008	-4.8618e-009
110.71	1.2531e-008	-24.895	1.1366e-008	-5.2748e-009
112.77	1.2495e-008	-27.114	1.1122e-008	-5.6949e-009
114.88	1.2483e-008	-29.379	1.0877e-008	-6.1239e-009
117.02	1.2494e-008	-31.691	1.0631e-008	-6.5635e-009
119.21	1.2529e-008	-34.052	1.0381e-008	-7.0155e-009
121.43	1.259e-008	-36.462	1.0126e-008	-7.4821e-009
