Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	8.6828e-009	89.109	1.3495e-010	8.6817e-009
10.187	8.8448e-009	89.093	1.4004e-010	8.8437e-009
10.377	9.0099e-009	89.076	1.4531e-010	9.0087e-009
10.571	9.1781e-009	89.059	1.5079e-010	9.1768e-009
10.768	9.3494e-009	89.041	1.5647e-010	9.348e-009
10.969	9.5239e-009	89.023	1.6237e-010	9.5225e-009
11.174	9.7016e-009	89.005	1.6848e-010	9.7001e-009
11.382	9.8827e-009	88.986	1.7483e-010	9.8811e-009
11.595	1.0067e-008	88.967	1.8142e-010	1.0065e-008
11.811	1.0255e-008	88.948	1.8825e-010	1.0253e-008
12.032	1.0446e-008	88.929	1.9535e-010	1.0445e-008
12.256	1.0641e-008	88.909	2.0271e-010	1.0639e-008
12.485	1.084e-008	88.888	2.1034e-010	1.0838e-008
12.718	1.1042e-008	88.867	2.1827e-010	1.104e-008
12.955	1.1248e-008	88.846	2.2649e-010	1.1246e-008
13.197	1.1458e-008	88.825	2.3503e-010	1.1456e-008
13.444	1.1672e-008	88.803	2.4388e-010	1.167e-008
13.695	1.189e-008	88.78	2.5307e-010	1.1887e-008
13.95	1.2112e-008	88.758	2.626e-010	1.2109e-008
14.211	1.2338e-008	88.734	2.725e-010	1.2335e-008
14.476	1.2568e-008	88.711	2.8276e-010	1.2565e-008
14.746	1.2803e-008	88.687	2.9341e-010	1.2799e-008
15.021	1.3042e-008	88.662	3.0447e-010	1.3038e-008
15.302	1.3285e-008	88.637	3.1594e-010	1.3281e-008
15.587	1.3533e-008	88.612	3.2784e-010	1.3529e-008
15.878	1.3785e-008	88.586	3.4019e-010	1.3781e-008
16.175	1.4043e-008	88.56	3.5301e-010	1.4038e-008
16.477	1.4305e-008	88.533	3.663e-010	1.43e-008
16.784	1.4572e-008	88.505	3.801e-010	1.4567e-008
17.097	1.4844e-008	88.477	3.9442e-010	1.4838e-008
17.417	1.5121e-008	88.449	4.0928e-010	1.5115e-008
17.742	1.5403e-008	88.42	4.247e-010	1.5397e-008
18.073	1.569e-008	88.39	4.4069e-010	1.5684e-008
18.41	1.5983e-008	88.36	4.5729e-010	1.5976e-008
18.754	1.6281e-008	88.33	4.7452e-010	1.6274e-008
19.104	1.6585e-008	88.299	4.9239e-010	1.6577e-008
19.461	1.6894e-008	88.267	5.1094e-010	1.6887e-008
19.824	1.7209e-008	88.235	5.3019e-010	1.7201e-008
20.194	1.7531e-008	88.202	5.5016e-010	1.7522e-008
20.571	1.7858e-008	88.168	5.7088e-010	1.7848e-008
20.955	1.8191e-008	88.134	5.9238e-010	1.8181e-008
21.346	1.853e-008	88.099	6.1469e-010	1.852e-008
21.744	1.8876e-008	88.064	6.3784e-010	1.8865e-008
22.15	1.9228e-008	88.027	6.6187e-010	1.9217e-008
22.564	1.9587e-008	87.991	6.8679e-010	1.9575e-008
22.985	1.9952e-008	87.953	7.1266e-010	1.9939e-008
23.414	2.0324e-008	87.915	7.395e-010	2.0311e-008
23.851	2.0703e-008	87.876	7.6735e-010	2.0689e-008
24.296	2.109e-008	87.836	7.9624e-010	2.1074e-008
24.75	2.1483e-008	87.796	8.2623e-010	2.1467e-008
25.212	2.1884e-008	87.755	8.5734e-010	2.1867e-008
25.683	2.2292e-008	87.713	8.8962e-010	2.2274e-008
26.162	2.2707e-008	87.67	9.2312e-010	2.2689e-008
26.65	2.3131e-008	87.627	9.5788e-010	2.3111e-008
27.148	2.3562e-008	87.582	9.9395e-010	2.3541e-008
27.655	2.4002e-008	87.537	1.0314e-009	2.398e-008
28.171	2.4449e-008	87.491	1.0702e-009	2.4426e-008
28.697	2.4905e-008	87.444	1.1105e-009	2.4881e-008
29.232	2.537e-008	87.397	1.1523e-009	2.5344e-008
29.778	2.5843e-008	87.348	1.1957e-009	2.5815e-008
30.334	2.6325e-008	87.299	1.2407e-009	2.6295e-008
30.9	2.6815e-008	87.248	1.2874e-009	2.6784e-008
31.477	2.7315e-008	87.197	1.3359e-009	2.7283e-008
32.064	2.7825e-008	87.145	1.3861e-009	2.779e-008
