Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	1.2658e-008	88.782	2.6908e-010	1.2655e-008
10.107	1.2793e-008	88.769	2.7486e-010	1.279e-008
10.215	1.2929e-008	88.756	2.8076e-010	1.2926e-008
10.324	1.3067e-008	88.742	2.8678e-010	1.3064e-008
10.434	1.3207e-008	88.729	2.9293e-010	1.3203e-008
10.545	1.3348e-008	88.715	2.9922e-010	1.3344e-008
10.658	1.349e-008	88.702	3.0564e-010	1.3487e-008
10.772	1.3634e-008	88.688	3.122e-010	1.363e-008
10.887	1.3779e-008	88.674	3.189e-010	1.3776e-008
11.003	1.3926e-008	88.66	3.2574e-010	1.3923e-008
11.12	1.4075e-008	88.645	3.3273e-010	1.4071e-008
11.239	1.4225e-008	88.631	3.3987e-010	1.4221e-008
11.359	1.4377e-008	88.616	3.4716e-010	1.4373e-008
11.48	1.4531e-008	88.602	3.5461e-010	1.4526e-008
11.603	1.4686e-008	88.587	3.6222e-010	1.4681e-008
11.727	1.4842e-008	88.572	3.6999e-010	1.4838e-008
11.852	1.5001e-008	88.556	3.7793e-010	1.4996e-008
11.978	1.5161e-008	88.541	3.8604e-010	1.5156e-008
12.106	1.5322e-008	88.525	3.9432e-010	1.5317e-008
12.235	1.5486e-008	88.51	4.0278e-010	1.5481e-008
12.366	1.5651e-008	88.494	4.1142e-010	1.5646e-008
12.498	1.5818e-008	88.478	4.2025e-010	1.5813e-008
12.631	1.5987e-008	88.461	4.2927e-010	1.5981e-008
12.766	1.6158e-008	88.445	4.3848e-010	1.6152e-008
12.902	1.633e-008	88.428	4.4789e-010	1.6324e-008
13.04	1.6504e-008	88.412	4.575e-010	1.6498e-008
13.179	1.668e-008	88.395	4.6731e-010	1.6674e-008
13.32	1.6858e-008	88.377	4.7734e-010	1.6852e-008
13.462	1.7038e-008	88.36	4.8758e-010	1.7031e-008
13.606	1.722e-008	88.343	4.9804e-010	1.7213e-008
13.751	1.7404e-008	88.325	5.0872e-010	1.7396e-008
13.898	1.7589e-008	88.307	5.1964e-010	1.7582e-008
14.046	1.7777e-008	88.289	5.3079e-010	1.7769e-008
14.196	1.7967e-008	88.271	5.4217e-010	1.7959e-008
14.348	1.8158e-008	88.252	5.5381e-010	1.815e-008
14.501	1.8352e-008	88.234	5.6569e-010	1.8343e-008
14.656	1.8548e-008	88.215	5.7782e-010	1.8539e-008
14.812	1.8746e-008	88.196	5.9022e-010	1.8737e-008
14.97	1.8946e-008	88.176	6.0288e-010	1.8936e-008
15.13	1.9148e-008	88.157	6.1581e-010	1.9138e-008
15.292	1.9352e-008	88.137	6.2903e-010	1.9342e-008
15.455	1.9559e-008	88.117	6.4252e-010	1.9548e-008
15.62	1.9767e-008	88.097	6.563e-010	1.9756e-008
15.786	1.9978e-008	88.077	6.7038e-010	1.9967e-008
15.955	2.0191e-008	88.057	6.8476e-010	2.018e-008
16.125	2.0407e-008	88.036	6.9945e-010	2.0395e-008
16.297	2.0624e-008	88.015	7.1445e-010	2.0612e-008
16.471	2.0844e-008	87.994	7.2978e-010	2.0832e-008
16.647	2.1067e-008	87.972	7.4543e-010	2.1054e-008
16.825	2.1292e-008	87.951	7.6142e-010	2.1278e-008
17.005	2.1519e-008	87.929	7.7776e-010	2.1505e-008
17.186	2.1748e-008	87.907	7.9444e-010	2.1734e-008
17.369	2.198e-008	87.884	8.1148e-010	2.1965e-008
17.555	2.2215e-008	87.862	8.2888e-010	2.2199e-008
17.742	2.2452e-008	87.839	8.4666e-010	2.2436e-008
17.932	2.2691e-008	87.816	8.6482e-010	2.2675e-008
18.123	2.2933e-008	87.792	8.8337e-010	2.2916e-008
18.317	2.3178e-008	87.769	9.0232e-010	2.316e-008
18.512	2.3425e-008	87.745	9.2167e-010	2.3407e-008
18.71	2.3675e-008	87.721	9.4144e-010	2.3656e-008
18.909	2.3927e-008	87.697	9.6163e-010	2.3908e-008
19.111	2.4182e-008	87.672	9.8225e-010	2.4162e-008
19.315	2.444e-008	87.647	1.0033e-009	2.442e-008
19.521	2.4701e-008	87.622	1.0248e-009	2.468e-008
19.73	2.4964e-008	87.597	1.0468e-009	2.4942e-008
19.94	2.5231e-008	87.571	1.0693e-009	2.5208e-008
20.153	2.55e-008	87.545	1.0922e-009	2.5476e-008
20.368	2.5772e-008	87.519	1.1156e-009	2.5747e-008
20.586	2.6046e-008	87.493	1.1395e-009	2.6021e-008
20.806	2.6324e-008	87.466	1.164e-009	2.6298e-008
21.028	2.6605e-008	87.439	1.1889e-009	2.6578e-008
21.252	2.6889e-008	87.411	1.2144e-009	2.6861e-008
21.479	2.7175e-008	87.384	1.2405e-009	2.7147e-008
21.708	2.7465e-008	87.356	1.2671e-009	2.7436e-008
21.94	2.7758e-008	87.328	1.2942e-009	2.7728e-008
22.174	2.8054e-008	87.299	1.322e-009	2.8023e-008
22.411	2.8353e-008	87.27	1.3503e-009	2.8321e-008
22.65	2.8655e-008	87.241	1.3793e-009	2.8622e-008
22.892	2.8961e-008	87.212	1.4088e-009	2.8926e-008
23.136	2.9269e-008	87.182	1.439e-009	2.9234e-008
23.383	2.9581e-008	87.152	1.4699e-009	2.9545e-008
23.633	2.9897e-008	87.121	1.5014e-009	2.9859e-008
23.885	3.0215e-008	87.091	1.5336e-009	3.0177e-008
24.14	3.0538e-008	87.06	1.5665e-009	3.0497e-008
24.398	3.0863e-008	87.028	1.6e-009	3.0822e-008
24.658	3.1192e-008	86.997	1.6343e-009	3.1149e-008
24.921	3.1524e-008	86.965	1.6694e-009	3.148e-008
25.187	3.186e-008	86.932	1.7051e-009	3.1815e-008
25.456	3.22e-008	86.899	1.7417e-009	3.2153e-008
25.728	3.2543e-008	86.866	1.779e-009	3.2495e-008
26.003	3.289e-008	86.833	1.8171e-009	3.284e-008
26.28	3.3241e-008	86.799	1.8561e-009	3.3189e-008
