Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	1.4694e-009	79.5	2.6778e-010	1.4448e-009
10.107	1.4851e-009	79.388	2.7349e-010	1.4597e-009
10.215	1.5009e-009	79.274	2.7933e-010	1.4747e-009
10.324	1.5169e-009	79.16	2.8529e-010	1.4899e-009
10.434	1.5331e-009	79.044	2.9137e-010	1.5052e-009
10.545	1.5495e-009	78.927	2.9759e-010	1.5207e-009
10.658	1.566e-009	78.809	3.0393e-010	1.5363e-009
10.772	1.5828e-009	78.69	3.1041e-010	1.552e-009
10.887	1.5996e-009	78.569	3.1703e-010	1.5679e-009
11.003	1.6167e-009	78.447	3.2379e-010	1.584e-009
11.12	1.634e-009	78.324	3.3069e-010	1.6002e-009
11.239	1.6514e-009	78.199	3.3774e-010	1.6165e-009
11.359	1.669e-009	78.073	3.4493e-010	1.633e-009
11.48	1.6869e-009	77.946	3.5228e-010	1.6497e-009
11.603	1.7049e-009	77.817	3.5979e-010	1.6665e-009
11.727	1.7231e-009	77.687	3.6745e-010	1.6834e-009
11.852	1.7415e-009	77.556	3.7527e-010	1.7005e-009
11.978	1.76e-009	77.423	3.8326e-010	1.7178e-009
12.106	1.7788e-009	77.288	3.9142e-010	1.7352e-009
12.235	1.7978e-009	77.153	3.9975e-010	1.7528e-009
12.366	1.817e-009	77.016	4.0826e-010	1.7706e-009
12.498	1.8364e-009	76.877	4.1694e-010	1.7885e-009
12.631	1.856e-009	76.737	4.2581e-010	1.8065e-009
12.766	1.8758e-009	76.595	4.3487e-010	1.8247e-009
12.902	1.8958e-009	76.452	4.4411e-010	1.8431e-009
13.04	1.9161e-009	76.308	4.5355e-010	1.8616e-009
13.179	1.9365e-009	76.162	4.6319e-010	1.8803e-009
13.32	1.9572e-009	76.014	4.7303e-010	1.8992e-009
13.462	1.9781e-009	75.864	4.8308e-010	1.9182e-009
13.606	1.9992e-009	75.714	4.9334e-010	1.9374e-009
13.751	2.0206e-009	75.561	5.0382e-010	1.9567e-009
