Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	1.8786e-006	90.	0.	1.8786e-006
10.107	1.8586e-006	90.	0.	1.8586e-006
10.215	1.8388e-006	90.	0.	1.8388e-006
10.324	1.8192e-006	90.	0.	1.8192e-006
10.434	1.7998e-006	90.	0.	1.7998e-006
10.545	1.7806e-006	90.	0.	1.7806e-006
10.658	1.7616e-006	90.	0.	1.7616e-006
10.772	1.7428e-006	90.	0.	1.7428e-006
10.887	1.7243e-006	90.	0.	1.7243e-006
11.003	1.7059e-006	90.	0.	1.7059e-006
11.12	1.6876e-006	90.	0.	1.6876e-006
11.239	1.6696e-006	90.	0.	1.6696e-006
11.359	1.6518e-006	90.	0.	1.6518e-006
11.48	1.6342e-006	90.	0.	1.6342e-006
11.603	1.6167e-006	90.	0.	1.6167e-006
11.727	1.5994e-006	90.	0.	1.5994e-006
11.852	1.5823e-006	90.	0.	1.5823e-006
11.978	1.5654e-006	90.	0.	1.5654e-006
12.106	1.5487e-006	90.	0.	1.5487e-006
12.235	1.5321e-006	90.	0.	1.5321e-006
12.366	1.5157e-006	90.	0.	1.5157e-006
12.498	1.4995e-006	90.	0.	1.4995e-006
12.631	1.4835e-006	90.	0.	1.4835e-006
12.766	1.4676e-006	90.	0.	1.4676e-006
12.902	1.4519e-006	90.	0.	1.4519e-006
13.04	1.4363e-006	90.	0.	1.4363e-006
13.179	1.4209e-006	90.	0.	1.4209e-006
13.32	1.4057e-006	90.	0.	1.4057e-006
13.462	1.3906e-006	90.	0.	1.3906e-006
13.606	1.3757e-006	90.	0.	1.3757e-006
13.751	1.3609e-006	90.	0.	1.3609e-006
13.898	1.3463e-006	90.	0.	1.3463e-006
14.046	1.3319e-006	90.	0.	1.3319e-006
14.196	1.3176e-006	90.	0.	1.3176e-006
14.348	1.3034e-006	90.	0.	1.3034e-006
14.501	1.2894e-006	90.	0.	1.2894e-006
14.656	1.2755e-006	90.	0.	1.2755e-006
14.812	1.2618e-006	90.	0.	1.2618e-006
14.97	1.2482e-006	90.	0.	1.2482e-006
