Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	8.7314e-009	90.287	-4.3661e-011	8.7313e-009
10.079	8.7877e-009	90.294	-4.5078e-011	8.7876e-009
10.158	8.8441e-009	90.302	-4.6543e-011	8.8439e-009
10.238	8.9005e-009	90.309	-4.8058e-011	8.9004e-009
10.319	8.9571e-009	90.317	-4.9625e-011	8.9569e-009
10.4	9.0137e-009	90.326	-5.1245e-011	9.0135e-009
10.482	9.0704e-009	90.334	-5.2921e-011	9.0702e-009
10.564	9.1271e-009	90.343	-5.4654e-011	9.1269e-009
10.647	9.1839e-009	90.352	-5.6446e-011	9.1837e-009
10.731	9.2407e-009	90.361	-5.83e-011	9.2405e-009
10.816	9.2975e-009	90.371	-6.0218e-011	9.2973e-009
10.901	9.3544e-009	90.381	-6.2202e-011	9.3542e-009
10.986	9.4112e-009	90.391	-6.4254e-011	9.411e-009
11.073	9.468e-009	90.402	-6.6378e-011	9.4678e-009
11.16	9.5248e-009	90.413	-6.8575e-011	9.5246e-009
11.248	9.5815e-009	90.424	-7.0849e-011	9.5813e-009
11.336	9.6382e-009	90.435	-7.3202e-011	9.6379e-009
11.426	9.6948e-009	90.447	-7.5637e-011	9.6945e-009
11.516	9.7512e-009	90.459	-7.8157e-011	9.7509e-009
11.606	9.8076e-009	90.472	-8.0765e-011	9.8073e-009
11.698	9.8638e-009	90.485	-8.3465e-011	9.8635e-009
11.79	9.9199e-009	90.498	-8.6261e-011	9.9195e-009
11.882	9.9758e-009	90.512	-8.9155e-011	9.9754e-009
11.976	1.0031e-008	90.526	-9.2151e-011	1.0031e-008
12.07	1.0087e-008	90.541	-9.5253e-011	1.0086e-008
12.165	1.0142e-008	90.556	-9.8466e-011	1.0142e-008
12.261	1.0197e-008	90.572	-1.0179e-010	1.0197e-008
12.357	1.0252e-008	90.588	-1.0524e-010	1.0251e-008
12.455	1.0306e-008	90.605	-1.0881e-010	1.0306e-008
12.553	1.036e-008	90.622	-1.125e-010	1.036e-008
12.652	1.0414e-008	90.64	-1.1634e-010	1.0413e-008
12.751	1.0467e-008	90.659	-1.203e-010	1.0466e-008
12.851	1.052e-008	90.678	-1.2442e-010	1.0519e-008
12.953	1.0572e-008	90.697	-1.2868e-010	1.0571e-008
13.055	1.0624e-008	90.718	-1.3309e-010	1.0623e-008
13.157	1.0675e-008	90.739	-1.3767e-010	1.0675e-008
13.261	1.0726e-008	90.761	-1.4241e-010	1.0725e-008
13.365	1.0776e-008	90.783	-1.4733e-010	1.0775e-008
13.47	1.0826e-008	90.807	-1.5243e-010	1.0825e-008
13.576	1.0875e-008	90.831	-1.5772e-010	1.0874e-008
13.683	1.0923e-008	90.856	-1.632e-010	1.0922e-008
13.791	1.097e-008	90.882	-1.6888e-010	1.0969e-008
13.9	1.1017e-008	90.909	-1.7478e-010	1.1015e-008
14.009	1.1062e-008	90.937	-1.809e-010	1.1061e-008
