Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	2.1291e-007	-90.012	-4.5441e-011	-2.1291e-007
10.079	2.1492e-007	-90.013	-4.7047e-011	-2.1492e-007
10.158	2.1696e-007	-90.013	-4.8713e-011	-2.1696e-007
10.238	2.1902e-007	-90.013	-5.0441e-011	-2.1902e-007
10.319	2.211e-007	-90.014	-5.2234e-011	-2.211e-007
10.4	2.2321e-007	-90.014	-5.4093e-011	-2.2321e-007
10.482	2.2535e-007	-90.014	-5.6023e-011	-2.2535e-007
10.564	2.2752e-007	-90.015	-5.8025e-011	-2.2752e-007
10.647	2.2971e-007	-90.015	-6.0103e-011	-2.2971e-007
10.731	2.3193e-007	-90.015	-6.2259e-011	-2.3193e-007
10.816	2.3419e-007	-90.016	-6.4497e-011	-2.3419e-007
10.901	2.3647e-007	-90.016	-6.682e-011	-2.3647e-007
10.986	2.3878e-007	-90.017	-6.9232e-011	-2.3878e-007
11.073	2.4112e-007	-90.017	-7.1737e-011	-2.4112e-007
11.16	2.4349e-007	-90.017	-7.4337e-011	-2.4349e-007
11.248	2.459e-007	-90.018	-7.7038e-011	-2.459e-007
11.336	2.4834e-007	-90.018	-7.9843e-011	-2.4834e-007
11.426	2.5081e-007	-90.019	-8.2757e-011	-2.5081e-007
11.516	2.5331e-007	-90.019	-8.5784e-011	-2.5331e-007
11.606	2.5585e-007	-90.02	-8.8929e-011	-2.5585e-007
11.698	2.5843e-007	-90.02	-9.2197e-011	-2.5843e-007
11.79	2.6104e-007	-90.021	-9.5593e-011	-2.6104e-007
11.882	2.6369e-007	-90.022	-9.9123e-011	-2.6369e-007
11.976	2.6638e-007	-90.022	-1.0279e-010	-2.6638e-007
12.07	2.691e-007	-90.023	-1.0661e-010	-2.691e-007
12.165	2.7187e-007	-90.023	-1.1058e-010	-2.7187e-007
12.261	2.7467e-007	-90.024	-1.147e-010	-2.7467e-007
12.357	2.7752e-007	-90.025	-1.1899e-010	-2.7752e-007
12.455	2.8041e-007	-90.025	-1.2346e-010	-2.8041e-007
12.553	2.8335e-007	-90.026	-1.281e-010	-2.8335e-007
12.652	2.8632e-007	-90.027	-1.3294e-010	-2.8632e-007
12.751	2.8935e-007	-90.027	-1.3797e-010	-2.8935e-007
12.851	2.9242e-007	-90.028	-1.432e-010	-2.9242e-007
12.953	2.9554e-007	-90.029	-1.4866e-010	-2.9554e-007
13.055	2.987e-007	-90.03	-1.5433e-010	-2.987e-007
13.157	3.0192e-007	-90.03	-1.6024e-010	-3.0192e-007
13.261	3.0519e-007	-90.031	-1.664e-010	-3.0519e-007
13.365	3.0851e-007	-90.032	-1.7282e-010	-3.0851e-007
13.47	3.1189e-007	-90.033	-1.795e-010	-3.1189e-007
13.576	3.1532e-007	-90.034	-1.8647e-010	-3.1532e-007
13.683	3.1881e-007	-90.035	-1.9373e-010	-3.1881e-007
13.791	3.2235e-007	-90.036	-2.013e-010	-3.2235e-007
13.9	3.2596e-007	-90.037	-2.092e-010	-3.2596e-007
14.009	3.2963e-007	-90.038	-2.1744e-010	-3.2963e-007
14.119	3.3336e-007	-90.039	-2.2603e-010	-3.3336e-007
14.23	3.3715e-007	-90.04	-2.3499e-010	-3.3715e-007
14.342	3.4102e-007	-90.041	-2.4435e-010	-3.4102e-007
14.455	3.4495e-007	-90.042	-2.5412e-010	-3.4495e-007
14.569	3.4895e-007	-90.043	-2.6432e-010	-3.4895e-007
14.684	3.5303e-007	-90.045	-2.7497e-010	-3.5303e-007
14.799	3.5718e-007	-90.046	-2.861e-010	-3.5718e-007
14.916	3.614e-007	-90.047	-2.9772e-010	-3.614e-007
15.033	3.6571e-007	-90.049	-3.0988e-010	-3.6571e-007
15.151	3.7009e-007	-90.05	-3.2258e-010	-3.7009e-007
15.271	3.7457e-007	-90.051	-3.3587e-010	-3.7457e-007
15.391	3.7912e-007	-90.053	-3.4976e-010	-3.7912e-007
15.512	3.8377e-007	-90.054	-3.643e-010	-3.8377e-007
15.634	3.8851e-007	-90.056	-3.7952e-010	-3.8851e-007
15.757	3.9334e-007	-90.058	-3.9545e-010	-3.9334e-007
15.881	3.9828e-007	-90.059	-4.1213e-010	-3.9828e-007
16.006	4.0331e-007	-90.061	-4.2961e-010	-4.0331e-007
16.132	4.0845e-007	-90.063	-4.4792e-010	-4.0845e-007
16.259	4.1369e-007	-90.065	-4.6711e-010	-4.1369e-007
16.387	4.1905e-007	-90.067	-4.8724e-010	-4.1905e-007
16.516	4.2452e-007	-90.069	-5.0835e-010	-4.2452e-007
16.646	4.3011e-007	-90.071	-5.305e-010	-4.3011e-007
16.777	4.3583e-007	-90.073	-5.5374e-010	-4.3583e-007
16.909	4.4167e-007	-90.075	-5.7816e-010	-4.4167e-007
17.042	4.4765e-007	-90.077	-6.038e-010	-4.4765e-007
17.176	4.5376e-007	-90.08	-6.3074e-010	-4.5376e-007
17.311	4.6002e-007	-90.082	-6.5906e-010	-4.6002e-007
17.448	4.6642e-007	-90.085	-6.8885e-010	-4.6642e-007
17.585	4.7298e-007	-90.087	-7.2019e-010	-4.7298e-007
17.723	4.7969e-007	-90.09	-7.5318e-010	-4.7969e-007
17.863	4.8657e-007	-90.093	-7.8791e-010	-4.8657e-007
18.003	4.9363e-007	-90.096	-8.2451e-010	-4.9363e-007
18.145	5.0086e-007	-90.099	-8.6308e-010	-5.0086e-007
18.288	5.0827e-007	-90.102	-9.0375e-010	-5.0827e-007
18.432	5.1589e-007	-90.105	-9.4666e-010	-5.1588e-007
18.577	5.237e-007	-90.109	-9.9196e-010	-5.237e-007
18.723	5.3172e-007	-90.112	-1.0398e-009	-5.3172e-007
18.871	5.3996e-007	-90.116	-1.0904e-009	-5.3996e-007
19.019	5.4843e-007	-90.119	-1.1438e-009	-5.4843e-007
19.169	5.5714e-007	-90.123	-1.2004e-009	-5.5714e-007
19.32	5.6609e-007	-90.128	-1.2602e-009	-5.6609e-007
19.472	5.7531e-007	-90.132	-1.3236e-009	-5.7531e-007
19.625	5.848e-007	-90.136	-1.3908e-009	-5.848e-007
19.779	5.9458e-007	-90.141	-1.4621e-009	-5.9458e-007
19.935	6.0465e-007	-90.146	-1.5378e-009	-6.0465e-007
