Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	4.2454e-007	89.869	9.7177e-010	4.2454e-007
10.158	4.3225e-007	89.866	1.0123e-009	4.3225e-007
10.319	4.4013e-007	89.863	1.055e-009	4.4013e-007
10.483	4.482e-007	89.859	1.0997e-009	4.482e-007
10.649	4.5645e-007	89.856	1.1468e-009	4.5645e-007
10.817	4.649e-007	89.853	1.1964e-009	4.649e-007
10.989	4.7355e-007	89.849	1.2485e-009	4.7355e-007
11.163	4.8241e-007	89.845	1.3035e-009	4.8241e-007
11.339	4.9148e-007	89.841	1.3614e-009	4.9148e-007
11.519	5.0078e-007	89.837	1.4225e-009	5.0078e-007
11.701	5.1032e-007	89.833	1.487e-009	5.1031e-007
11.887	5.2009e-007	89.829	1.5552e-009	5.2009e-007
12.075	5.3012e-007	89.824	1.6272e-009	5.3011e-007
12.266	5.404e-007	89.819	1.7034e-009	5.404e-007
12.46	5.5096e-007	89.814	1.7842e-009	5.5096e-007
12.657	5.6181e-007	89.809	1.8697e-009	5.6181e-007
12.858	5.7295e-007	89.804	1.9605e-009	5.7294e-007
13.062	5.844e-007	89.798	2.0568e-009	5.8439e-007
13.268	5.9617e-007	89.792	2.1592e-009	5.9616e-007
13.478	6.0828e-007	89.786	2.2681e-009	6.0827e-007
13.692	6.2074e-007	89.78	2.3841e-009	6.2073e-007
13.909	6.3357e-007	89.773	2.5078e-009	6.3356e-007
14.129	6.4678e-007	89.766	2.6397e-009	6.4678e-007
14.353	6.604e-007	89.759	2.7807e-009	6.604e-007
14.58	6.7445e-007	89.751	2.9315e-009	6.7445e-007
14.811	6.8895e-007	89.743	3.0929e-009	6.8894e-007
15.045	7.0392e-007	89.734	3.2661e-009	7.0391e-007
15.284	7.1938e-007	89.725	3.452e-009	7.1938e-007
15.526	7.3538e-007	89.715	3.6518e-009	7.3537e-007
15.771	7.5192e-007	89.705	3.867e-009	7.5191e-007
16.021	7.6905e-007	89.695	4.0991e-009	7.6904e-007
16.275	7.868e-007	89.683	4.3497e-009	7.8679e-007
16.533	8.0521e-007	89.671	4.6208e-009	8.052e-007
16.794	8.2432e-007	89.658	4.9145e-009	8.2431e-007
17.06	8.4418e-007	89.645	5.2333e-009	8.4416e-007
17.33	8.6482e-007	89.63	5.58e-009	8.6481e-007
17.605	8.8632e-007	89.615	5.9578e-009	8.863e-007
17.884	9.0872e-007	89.598	6.3703e-009	9.087e-007
18.167	9.3209e-007	89.581	6.8215e-009	9.3207e-007
18.455	9.565e-007	89.562	7.3163e-009	9.5648e-007
18.747	9.8204e-007	89.541	7.8602e-009	9.8201e-007
19.044	1.0088e-006	89.52	8.4594e-009	1.0087e-006
19.345	1.0368e-006	89.496	9.1213e-009	1.0368e-006
19.652	1.0663e-006	89.47	9.8545e-009	1.0662e-006
19.963	1.0973e-006	89.443	1.0669e-008	1.0972e-006
20.279	1.13e-006	89.413	1.1577e-008	1.1299e-006
20.6	1.1645e-006	89.38	1.2591e-008	1.1644e-006
20.926	1.201e-006	89.345	1.3729e-008	1.2009e-006
21.258	1.2397e-006	89.306	1.501e-008	1.2396e-006
21.594	1.2808e-006	89.264	1.6458e-008	1.2807e-006
21.936	1.3246e-006	89.217	1.8102e-008	1.3245e-006
22.283	1.3714e-006	89.165	1.9975e-008	1.3713e-006
22.636	1.4216e-006	89.108	2.2121e-008	1.4214e-006
22.995	1.4755e-006	89.045	2.4591e-008	1.4753e-006
23.359	1.5336e-006	88.974	2.7451e-008	1.5333e-006
23.729	1.5965e-006	88.895	3.0782e-008	1.5962e-006
24.104	1.6648e-006	88.806	3.4687e-008	1.6644e-006
24.486	1.7394e-006	88.705	3.9297e-008	1.739e-006
24.874	1.8213e-006	88.591	4.4783e-008	1.8207e-006
25.268	1.9115e-006	88.46	5.1367e-008	1.9108e-006
25.668	2.0117e-006	88.31	5.9346e-008	2.0109e-006
26.074	2.1237e-006	88.135	6.9116e-008	2.1226e-006
26.487	2.2498e-006	87.931	8.1225e-008	2.2483e-006
