Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	5.1287e-006	90.	-6.924e-017	5.1287e-006
10.158	5.0486e-006	90.	-7.1451e-017	5.0486e-006
10.319	4.9697e-006	90.	-7.3733e-017	4.9697e-006
10.483	4.892e-006	90.	-7.6089e-017	4.892e-006
10.649	4.8155e-006	90.	-7.8519e-017	4.8155e-006
10.817	4.7402e-006	90.	-8.1027e-017	4.7402e-006
10.989	4.6661e-006	90.	-8.3615e-017	4.6661e-006
11.163	4.5931e-006	90.	-8.6286e-017	4.5931e-006
11.339	4.5213e-006	90.	-8.9042e-017	4.5213e-006
11.519	4.4505e-006	90.	-9.1886e-017	4.4505e-006
11.701	4.3809e-006	90.	-9.4821e-017	4.3809e-006
11.887	4.3124e-006	90.	-9.7851e-017	4.3124e-006
12.075	4.2449e-006	90.	-1.0098e-016	4.2449e-006
12.266	4.1785e-006	90.	-1.042e-016	4.1785e-006
12.46	4.1131e-006	90.	-1.0753e-016	4.1131e-006
12.657	4.0487e-006	90.	-1.1097e-016	4.0487e-006
12.858	3.9853e-006	90.	-1.1451e-016	3.9853e-006
13.062	3.9229e-006	90.	-1.1817e-016	3.9229e-006
13.268	3.8615e-006	90.	-1.2195e-016	3.8615e-006
13.478	3.801e-006	90.	-1.2584e-016	3.801e-006
13.692	3.7415e-006	90.	-1.2986e-016	3.7415e-006
13.909	3.6829e-006	90.	-1.3401e-016	3.6829e-006
14.129	3.6252e-006	90.	-1.383e-016	3.6252e-006
14.353	3.5683e-006	90.	-1.4272e-016	3.5683e-006
14.58	3.5124e-006	90.	-1.4728e-016	3.5124e-006
14.811	3.4574e-006	90.	-1.5198e-016	3.4574e-006
15.045	3.4031e-006	90.	-1.5684e-016	3.4031e-006
15.284	3.3498e-006	90.	-1.6185e-016	3.3498e-006
15.526	3.2972e-006	90.	-1.6703e-016	3.2972e-006
15.771	3.2455e-006	90.	-1.7236e-016	3.2455e-006
16.021	3.1946e-006	90.	-1.7787e-016	3.1946e-006
16.275	3.1444e-006	90.	-1.8356e-016	3.1444e-006
16.533	3.0951e-006	90.	-1.8943e-016	3.0951e-006
16.794	3.0465e-006	90.	-1.9548e-016	3.0465e-006
17.06	2.9986e-006	90.	-2.0173e-016	2.9986e-006
17.33	2.9515e-006	90.	-2.0818e-016	2.9515e-006
17.605	2.9051e-006	90.	-2.1484e-016	2.9051e-006
17.884	2.8595e-006	90.	-2.2171e-016	2.8595e-006
18.167	2.8145e-006	90.	-2.288e-016	2.8145e-006
18.455	2.7703e-006	90.	-2.3612e-016	2.7703e-006
18.747	2.7267e-006	90.	-2.4367e-016	2.7267e-006
19.044	2.6838e-006	90.	-2.5146e-016	2.6838e-006
19.345	2.6415e-006	90.	-2.595e-016	2.6415e-006
19.652	2.6e-006	90.	-2.6781e-016	2.6e-006
19.963	2.559e-006	90.	-2.7637e-016	2.559e-006
20.279	2.5187e-006	90.	-2.8521e-016	2.5187e-006
20.6	2.479e-006	90.	-2.9434e-016	2.479e-006
20.926	2.4399e-006	90.	-3.0376e-016	2.4399e-006
21.258	2.4014e-006	90.	-3.1348e-016	2.4014e-006
21.594	2.3635e-006	90.	-3.2351e-016	2.3635e-006
21.936	2.3262e-006	90.	-3.3386e-016	2.3262e-006
22.283	2.2895e-006	90.	-3.4455e-016	2.2895e-006
22.636	2.2533e-006	90.	-3.5558e-016	2.2533e-006
22.995	2.2177e-006	90.	-3.6696e-016	2.2177e-006
23.359	2.1827e-006	90.	-3.7871e-016	2.1827e-006
23.729	2.1481e-006	90.	-3.9083e-016	2.1481e-006
24.104	2.1142e-006	90.	-4.0335e-016	2.1142e-006
24.486	2.0807e-006	90.	-4.1627e-016	2.0807e-006
24.874	2.0477e-006	90.	-4.296e-016	2.0477e-006
25.268	2.0153e-006	90.	-4.4336e-016	2.0153e-006
25.668	1.9833e-006	90.	-4.5756e-016	1.9833e-006
26.074	1.9519e-006	90.	-4.7222e-016	1.9519e-006
26.487	1.9209e-006	90.	-4.8735e-016	1.9209e-006
26.907	1.8904e-006	90.	-5.0297e-016	1.8904e-006
27.333	1.8603e-006	90.	-5.1909e-016	1.8603e-006
27.766	1.8307e-006	90.	-5.3573e-016	1.8307e-006
28.205	1.8016e-006	90.	-5.529e-016	1.8016e-006
28.652	1.7729e-006	90.	-5.7063e-016	1.7729e-006
29.106	1.7447e-006	90.	-5.8893e-016	1.7447e-006
29.566	1.7168e-006	90.	-6.0782e-016	1.7168e-006
30.035	1.6895e-006	90.	-6.2731e-016	1.6895e-006
30.51	1.6625e-006	90.	-6.4744e-016	1.6625e-006
30.993	1.6359e-006	90.	-6.6821e-016	1.6359e-006
31.484	1.6097e-006	90.	-6.8966e-016	1.6097e-006
31.983	1.584e-006	90.	-7.118e-016	1.584e-006
32.489	1.5586e-006	90.	-7.3465e-016	1.5586e-006
33.004	1.5336e-006	90.	-7.5824e-016	1.5336e-006
33.526	1.509e-006	90.	-7.8259e-016	1.509e-006
34.057	1.4847e-006	90.	-8.0773e-016	1.4847e-006
34.596	1.4609e-006	90.	-8.3368e-016	1.4609e-006
35.144	1.4374e-006	90.	-8.6047e-016	1.4374e-006
35.701	1.4142e-006	90.	-8.8813e-016	1.4142e-006
36.266	1.3914e-006	90.	-9.1668e-016	1.3914e-006
36.84	1.3689e-006	90.	-9.4616e-016	1.3689e-006
37.424	1.3468e-006	90.	-9.7659e-016	1.3468e-006
38.016	1.325e-006	90.	-1.008e-015	1.325e-006
38.618	1.3035e-006	90.	-1.0405e-015	1.3035e-006
39.23	1.2824e-006	90.	-1.0739e-015	1.2824e-006
39.851	1.2615e-006	90.	-1.1085e-015	1.2615e-006
40.482	1.241e-006	90.	-1.1442e-015	1.241e-006
41.123	1.2208e-006	90.	-1.1811e-015	1.2208e-006
41.774	1.2009e-006	90.	-1.2191e-015	1.2009e-006
42.436	1.1813e-006	90.	-1.2585e-015	1.1813e-006
43.108	1.1619e-006	90.	-1.299e-015	1.1619e-006
43.79	1.1429e-006	90.	-1.3409e-015	1.1429e-006
44.484	1.1241e-006	90.	-1.3842e-015	1.1241e-006
45.188	1.1057e-006	90.	-1.4289e-015	1.1057e-006
45.904	1.0875e-006	90.	-1.475e-015	1.0875e-006
46.631	1.0695e-006	90.	-1.5227e-015	1.0695e-006
47.369	1.0518e-006	90.	-1.5719e-015	1.0518e-006
48.119	1.0344e-006	90.	-1.6227e-015	1.0344e-006
48.881	1.0173e-006	90.	-1.6752e-015	1.0173e-006
49.655	1.0003e-006	90.	-1.7294e-015	1.0003e-006
50.441	9.8368e-007	90.	-1.7854e-015	9.8368e-007
51.24	9.6726e-007	90.	-1.8432e-015	9.6726e-007
52.051	9.5107e-007	90.	-1.9029e-015	9.5107e-007
52.876	9.3512e-007	90.	-1.9646e-015	9.3512e-007
53.713	9.194e-007	90.	-2.0283e-015	9.194e-007
54.564	9.039e-007	90.	-2.0941e-015	9.039e-007
55.428	8.8863e-007	90.	-2.1621e-015	8.8863e-007
56.305	8.7358e-007	90.	-2.2323e-015	8.7358e-007
57.197	8.5874e-007	90.	-2.3049e-015	8.5874e-007
58.103	8.4411e-007	90.	-2.3799e-015	8.4411e-007
59.023	8.2969e-007	90.	-2.4573e-015	8.2969e-007
59.957	8.1548e-007	90.	-2.5373e-015	8.1548e-007
60.907	8.0146e-007	90.	-2.62e-015	8.0146e-007
61.871	7.8765e-007	90.	-2.7054e-015	7.8765e-007
62.851	7.7402e-007	90.	-2.7937e-015	7.7402e-007
63.846	7.6059e-007	90.	-2.8849e-015	7.6059e-007
64.857	7.4734e-007	90.	-2.9792e-015	7.4734e-007
65.884	7.3427e-007	90.	-3.0767e-015	7.3427e-007
66.927	7.2139e-007	90.	-3.1774e-015	7.2139e-007
67.987	7.0868e-007	90.	-3.2814e-015	7.0868e-007
69.064	6.9615e-007	90.	-3.389e-015	6.9615e-007
70.157	6.8379e-007	90.	-3.5002e-015	6.8379e-007
71.268	6.7159e-007	90.	-3.6152e-015	6.7159e-007
72.397	6.5956e-007	90.	-3.7341e-015	6.5956e-007
73.543	6.4769e-007	90.	-3.8569e-015	6.4769e-007
74.708	6.3598e-007	90.	-3.984e-015	6.3598e-007
75.891	6.2442e-007	90.	-4.1154e-015	6.2442e-007
