Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
10.	5.4265e-009	80.878	8.6027e-010	5.3578e-009
10.158	5.5403e-009	80.733	8.9216e-010	5.468e-009
10.319	5.6575e-009	80.586	9.2539e-010	5.5813e-009
10.483	5.7781e-009	80.436	9.6004e-010	5.6978e-009
10.649	5.9025e-009	80.284	9.9618e-010	5.8178e-009
10.817	6.0307e-009	80.129	1.0339e-009	5.9415e-009
10.989	6.163e-009	79.971	1.0732e-009	6.0688e-009
11.163	6.2994e-009	79.812	1.1143e-009	6.2001e-009
11.339	6.4403e-009	79.649	1.1572e-009	6.3355e-009
11.519	6.5858e-009	79.484	1.202e-009	6.4752e-009
11.701	6.7362e-009	79.316	1.2489e-009	6.6194e-009
11.887	6.8916e-009	79.145	1.2979e-009	6.7683e-009
12.075	7.0525e-009	78.971	1.3491e-009	6.9222e-009
12.266	7.2189e-009	78.795	1.4028e-009	7.0813e-009
12.46	7.3914e-009	78.615	1.459e-009	7.2459e-009
12.657	7.57e-009	78.433	1.5179e-009	7.4163e-009
12.858	7.7553e-009	78.247	1.5797e-009	7.5927e-009
13.062	7.9476e-009	78.059	1.6444e-009	7.7756e-009
13.268	8.1472e-009	77.867	1.7124e-009	7.9652e-009
13.478	8.3546e-009	77.671	1.7839e-009	8.1619e-009
13.692	8.5702e-009	77.473	1.8589e-009	8.3662e-009
13.909	8.7946e-009	77.271	1.9379e-009	8.5784e-009
14.129	9.0282e-009	77.065	2.021e-009	8.7991e-009
14.353	9.2717e-009	76.856	2.1085e-009	9.0288e-009
14.58	9.5256e-009	76.643	2.2007e-009	9.268e-009
14.811	9.7907e-009	76.426	2.2979e-009	9.5172e-009
15.045	1.0068e-008	76.205	2.4006e-009	9.7772e-009
15.284	1.0357e-008	75.98	2.5091e-009	1.0049e-008
15.526	1.066e-008	75.751	2.6238e-009	1.0332e-008
15.771	1.0978e-008	75.518	2.7452e-009	1.0629e-008
16.021	1.1311e-008	75.28	2.8739e-009	1.0939e-008
16.275	1.166e-008	75.038	3.0103e-009	1.1265e-008
16.533	1.2027e-008	74.791	3.1552e-009	1.1606e-008
16.794	1.2414e-008	74.54	3.3091e-009	1.1965e-008
17.06	1.2821e-008	74.283	3.473e-009	1.2342e-008
17.33	1.325e-008	74.021	3.6475e-009	1.2738e-008
17.605	1.3704e-008	73.754	3.8337e-009	1.3156e-008
17.884	1.4183e-008	73.481	4.0326e-009	1.3598e-008
18.167	1.469e-008	73.203	4.2453e-009	1.4064e-008
18.455	1.5229e-008	72.918	4.4732e-009	1.4557e-008
18.747	1.58e-008	72.627	4.7178e-009	1.508e-008
19.044	1.6408e-008	72.329	4.9806e-009	1.5634e-008
19.345	1.7056e-008	72.025	5.2636e-009	1.6224e-008
19.652	1.7748e-008	71.713	5.5689e-009	1.6852e-008
19.963	1.8487e-008	71.393	5.8987e-009	1.7521e-008
20.279	1.928e-008	71.066	6.256e-009	1.8237e-008
20.6	2.0131e-008	70.729	6.6438e-009	1.9003e-008
20.926	2.1047e-008	70.384	7.0657e-009	1.9825e-008
21.258	2.2035e-008	70.029	7.5259e-009	2.0709e-008
21.594	2.3103e-008	69.663	8.0292e-009	2.1663e-008
21.936	2.4261e-008	69.286	8.5812e-009	2.2693e-008
22.283	2.552e-008	68.897	9.1885e-009	2.3809e-008
22.636	2.6894e-008	68.495	9.8588e-009	2.5022e-008
22.995	2.8397e-008	68.078	1.0602e-008	2.6344e-008
23.359	3.0047e-008	67.646	1.1428e-008	2.7789e-008
23.729	3.1866e-008	67.197	1.235e-008	2.9376e-008
24.104	3.388e-008	66.729	1.3386e-008	3.1124e-008
24.486	3.612e-008	66.239	1.4553e-008	3.3058e-008
24.874	3.8622e-008	65.726	1.5878e-008	3.5207e-008
25.268	4.1434e-008	65.185	1.7389e-008	3.7608e-008
25.668	4.4613e-008	64.613	1.9127e-008	4.0305e-008
26.074	4.8231e-008	64.005	2.1139e-008	4.3352e-008
26.487	5.2381e-008	63.355	2.3491e-008	4.6818e-008
26.907	5.7182e-008	62.654	2.6267e-008	5.0792e-008
27.333	6.2791e-008	61.893	2.9582e-008	5.5385e-008
27.766	6.9418e-008	61.057	3.3594e-008	6.0748e-008
28.205	7.7353e-008	60.127	3.8528e-008	6.7076e-008
28.652	8.7004e-008	59.078	4.4709e-008	7.4637e-008
29.106	9.8962e-008	57.87	5.2633e-008	8.3805e-008
29.566	1.1412e-007	56.444	6.3081e-008	9.5104e-008
30.035	1.339e-007	54.71	7.7354e-008	1.0929e-007
30.51	1.6064e-007	52.511	9.7766e-008	1.2746e-007
30.993	1.9856e-007	49.566	1.2878e-007	1.5113e-007
31.484	2.5586e-007	45.311	1.7993e-007	1.819e-007
31.983	3.5017e-007	38.456	2.7421e-007	2.1777e-007
32.489	5.2148e-007	25.526	4.7058e-007	2.2472e-007
33.004	8.1042e-007	-3.2396	8.0913e-007	-4.5799e-008
33.526	8.509e-007	-50.857	5.3714e-007	-6.5993e-007
34.057	5.82e-007	-81.253	8.8503e-008	-5.7523e-007
34.596	4.1011e-007	-94.911	-3.5109e-008	-4.086e-007
35.144	3.1492e-007	-102.13	-6.6157e-008	-3.0789e-007
35.701	2.5734e-007	-106.64	-7.368e-008	-2.4657e-007
36.266	2.1955e-007	-109.82	-7.4428e-008	-2.0655e-007
36.84	1.9322e-007	-112.26	-7.3187e-008	-1.7883e-007
37.424	1.7408e-007	-114.26	-7.1518e-008	-1.5871e-007
38.016	1.5974e-007	-115.98	-6.997e-008	-1.436e-007
38.618	1.4879e-007	-117.52	-6.8737e-008	-1.3196e-007
39.23	1.4032e-007	-118.93	-6.7882e-008	-1.228e-007
39.851	1.3375e-007	-120.27	-6.7421e-008	-1.1551e-007
