Freq (hertz)	SPL (dB)	WPhase (deg)
10.00   	68.80   	153.58  
10.14   	69.04   	153.23  
10.29   	69.27   	152.87  
10.44   	69.50   	152.50  
10.59   	69.73   	152.14  
10.74   	69.96   	151.77  
10.90   	70.19   	151.39  
11.05   	70.42   	151.01  
11.21   	70.65   	150.63  
11.37   	70.88   	150.24  
11.54   	71.10   	149.85  
11.70   	71.33   	149.45  
11.87   	71.56   	149.05  
12.04   	71.78   	148.65  
12.22   	72.01   	148.24  
12.39   	72.24   	147.82  
12.57   	72.46   	147.40  
12.75   	72.68   	146.98  
12.94   	72.91   	146.56  
13.12   	73.13   	146.13  
13.31   	73.35   	145.69  
13.50   	73.58   	145.25  
13.70   	73.80   	144.81  
13.89   	74.02   	144.36  
14.10   	74.24   	143.91  
14.30   	74.46   	143.45  
14.50   	74.67   	142.99  
14.71   	74.89   	142.52  
14.92   	75.11   	142.05  
15.14   	75.33   	141.58  
15.36   	75.54   	141.10  
15.58   	75.76   	140.62  
15.80   	75.97   	140.13  
16.03   	76.19   	139.64  
16.26   	76.40   	139.14  
16.50   	76.61   	138.64  
16.73   	76.82   	138.14  
16.98   	77.03   	137.63  
17.22   	77.24   	137.12  
17.47   	77.45   	136.60  
17.72   	77.66   	136.08  
17.97   	77.87   	135.56  
18.23   	78.07   	135.03  
18.50   	78.28   	134.50  
18.76   	78.48   	133.96  
19.03   	78.69   	133.42  
19.31   	78.89   	132.88  
19.59   	79.09   	132.33  
19.87   	79.30   	131.78  
20.15   	79.50   	131.22  
20.44   	79.70   	130.66  
20.74   	79.89   	130.10  
21.04   	80.09   	129.53  
21.34   	80.29   	128.96  
21.65   	80.48   	128.39  
21.96   	80.68   	127.81  
22.28   	80.87   	127.23  
22.60   	81.07   	126.64  
22.92   	81.26   	126.05  
23.25   	81.45   	125.46  
23.59   	81.64   	124.87  
23.93   	81.83   	124.27  
24.27   	82.02   	123.67  
24.62   	82.20   	123.06  
24.98   	82.39   	122.45  
25.34   	82.57   	121.84  
25.70   	82.76   	121.23  
26.07   	82.94   	120.61  
26.45   	83.12   	119.99  
26.83   	83.30   	119.37  
27.21   	83.48   	118.75  
27.61   	83.66   	118.12  
28.00   	83.84   	117.49  
28.41   	84.02   	116.85  
28.82   	84.19   	116.22  
29.23   	84.37   	115.58  
29.65   	84.54   	114.93  
30.08   	84.72   	114.29  
30.51   	84.89   	113.64  
30.95   	85.06   	113.00  
31.40   	85.23   	112.34  
31.85   	85.40   	111.69  
32.31   	85.56   	111.03  
32.77   	85.73   	110.38  
33.25   	85.90   	109.72  
33.72   	86.06   	109.05  
34.21   	86.22   	108.39  
34.70   	86.39   	107.72  
35.20   	86.55   	107.05  
35.71   	86.71   	106.38  
36.22   	86.87   	105.71  
36.75   	87.02   	105.03  
37.28   	87.18   	104.36  
37.81   	87.34   	103.68  
38.36   	87.49   	103.00  
38.91   	87.65   	102.31  
39.47   	87.80   	101.63  
40.04   	87.95   	100.94  
40.62   	88.10   	100.25  
41.20   	88.25   	99.56   
41.79   	88.40   	98.87   
42.40   	88.55   	98.18   
43.01   	88.69   	97.48   
43.63   	88.84   	96.78   
44.26   	88.98   	96.08   
44.89   	89.13   	95.38   
45.54   	89.27   	94.68   
46.20   	89.41   	93.97   
46.86   	89.55   	93.27   
47.54   	89.69   	92.56   
48.22   	89.83   	91.85   
48.91   	89.97   	91.14   
49.62   	90.10   	90.42   
50.33   	90.24   	89.71   
51.06   	90.37   	88.99   
51.79   	90.51   	88.27   
52.54   	90.64   	87.55   
53.30   	90.77   	86.82   
54.07   	90.90   	86.10   
54.84   	91.03   	85.37   
55.63   	91.16   	84.64   
56.44   	91.28   	83.91   
57.25   	91.41   	83.18   
58.07   	91.53   	82.45   
58.91   	91.66   	81.71   
59.76   	91.78   	80.97   
60.62   	91.90   	80.23   
61.49   	92.02   	79.49   
62.38   	92.14   	78.74   
63.28   	92.26   	78.00   
64.19   	92.38   	77.25   
65.11   	92.50   	76.50   
66.05   	92.61   	75.75   
67.00   	92.73   	74.99   
67.97   	92.84   	74.24   
68.95   	92.95   	73.48   
69.94   	93.06   	72.72   
70.95   	93.17   	71.95   
71.97   	93.28   	71.19   
73.01   	93.39   	70.42   
74.06   	93.50   	69.65   
75.12   	93.60   	68.88   
76.21   	93.71   	68.10   
77.30   	93.81   	67.33   
78.42   	93.91   	66.55   
79.55   	94.01   	65.77   
80.69   	94.11   	64.99   
81.85   	94.21   	64.20   
83.03   	94.31   	63.41   
84.23   	94.41   	62.62   
85.44   	94.50   	61.83   
86.67   	94.59   	61.04   
87.92   	94.69   	60.24   
89.19   	94.78   	59.44   
90.47   	94.87   	58.64   
91.78   	94.96   	57.84   
93.10   	95.05   	57.03   
94.44   	95.13   	56.22   
95.80   	95.22   	55.42   
97.18   	95.30   	54.60   
98.58   	95.39   	53.79   
100.00  	95.47   	52.97   
101.44  	95.55   	52.15   
102.90  	95.63   	51.33   
104.38  	95.70   	50.51   
105.89  	95.78   	49.69   
107.41  	95.86   	48.86   
108.96  	95.93   	48.03   
110.53  	96.00   	47.20   
112.12  	96.07   	46.37   
113.74  	96.14   	45.54   
115.38  	96.21   	44.70   
117.04  	96.28   	43.86   
118.72  	96.34   	43.02   
120.43  	96.41   	42.18   
122.17  	96.47   	41.34   
123.93  	96.53   	40.49   
125.71  	96.59   	39.65   
127.52  	96.65   	38.80   
129.36  	96.71   	37.95   
131.22  	96.76   	37.10   
133.11  	96.82   	36.25   
135.03  	96.87   	35.40   
136.98  	96.92   	34.55   
138.95  	96.97   	33.69   
